ID,Site,Length,Width,Thickness,Other typologies,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Bow,Area,Long base,Short base,Campaign,Layer,Colour,Distal side length,Proximal side length,Date,Date BP,Calibrated date,Sd Date BP,Direction bow,Direction short base,Direction distal side,Direction proximal side,Excavated by,Extension bow,Extension short base,Extension distal side,Extension proximal side,Phase,Reliability,Broad Shape,Type Fortea,Type García-Puchol,Type Juan-Cabanilles,Original museum ID,Location museum ID,Inclination bow,Inclination short base,Inclination distal side,Inclination proximal side,Shape Proximal,Reliability proximal,Shape distal,Reliability distal,Shape short base,Reliability short base,Shape bow,Reliability bow,Raw material,Microburin,Archaeological level,Comments,Outline vertex,Orientation,Grid,Residual retouch,Sector,Symmetry,Sub-grid,Location,X,Y,Z,Vertex,X_geo,Y_geo,Z_geo
2867,Can Ballester,2.05,0.91,0.22,,41.56,36.8,0,0,101.65,0,1.18,2.07,0,1977,,Gris,1.41,1.27,20/5/2019,,,,No escau,No escau,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,No escau,Continu,Continu,,100,Triangle,G11. Triángulo isósceles con el vértice redondeado,Ts 9.4.1 Triángulo con doble bisel,G4. Triángulo de retoque en doble bisel,CB2-IV-21,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,No escau,Oblicu,Oblicu,Rectilini,Complet,Rectilini regular,Complet,No escau,No escau,No escau,No escau,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
2868,Can Ballester,1.97,0.58,0.18,,28.74,24.04,0,0,127.22,0,0.72,2.34,0,1977,,Gris,1.42,1.2,20/5/2019,,,,No escau,No escau,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,No escau,Continu,Continu,,96.17,Triangle,G11. Triángulo isósceles con el vértice redondeado,Ts 9.4.1 Triángulo con doble bisel,G4. Triángulo de retoque en doble bisel,CB2-IV-13,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,No escau,Oblicu,Oblicu,Rectilini,Incomplet,Rectilini regular,Incomplet,No escau,No escau,No escau,No escau,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
2869,Can Ballester,2.13,0.89,0.21,,33.81,32.02,0,0,114.18,0,1.18,2.17,0,1977,,Gris,1.33,1.26,20/5/2019,,,,No escau,No escau,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,No escau,Continu,Continu,,100,Triangle,G14. Triángulo escaleno con el lado pequeño convexo,Ts 9.4.1 Triángulo con doble bisel,G4. Triángulo de retoque en doble bisel,CB2-IV-100,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,No escau,Oblicu,Oblicu,Convex,Complet,Rectilini regular,Complet,No escau,No escau,No escau,No escau,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Taprezoidal,,,
2870,Can Ballester,1.86,0.78,0.16,,58.45,52.83,0,0,0,2.43,1.09,1.89,0,1977,,Mel clar,1.11,1.19,20/5/2019,,,,No escau,Doble bisell,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,100,Segment,G1. Segmento o media Luna,Ss 9.6 Segmento de doble bisel,G2. Segmento de retoque en doble bisel,CB2-IV-10,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Oblicu,Oblicu,Oblicu,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat abrupte,Complet,Sílex,No,4,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2871,Can Ballester,1.88,0.84,0.22,,40.81,39.67,0,0,0,3.23,1.13,2.77,0,1977,,Gris,1.55,1.62,20/5/2019,,,,No escau,Doble bisell,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,86.21,Segment,G1. Segmento o media Luna,Ss 9.6 Segmento de doble bisel,G2. Segmento de retoque en doble bisel,CB2-IV-31,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Oblicu,Oblicu,Oblicu,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2872,Can Ballester,1.63,0.69,0.22,,55.29,45.18,0,0,0,2.32,0.77,1.84,0,1977,,Gris,1.15,1.12,20/5/2019,,,,No escau,Doble bisell,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,97.72,Segment,G1. Segmento o media Luna,Ss 9.6 Segmento de doble bisel,G2. Segmento de retoque en doble bisel,CB2-IV-12,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Oblicu,Oblicu,Oblicu,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2873,Can Ballester,1.74,0.8,0.22,,46.39,41.86,0,0,0,2.86,0.96,2.36,0,1977,,Gris,1.51,1.28,20/5/2019,,,,No escau,Doble bisell,Doble bisell,Doble bisell,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,77.21,Segment,G1. Segmento o media Luna,Ss 9.6 Segmento de doble bisel,G2. Segmento de retoque en doble bisel,CB2-IV-24,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Oblicu,Oblicu,Oblicu,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2874,Can Ballester,1.78,0.66,0.24,,44.5,41.63,0,0,0,2.87,0.94,2.44,0,1977,,Gris,1.35,1.41,20/5/2019,,,,No escau,Directa,Directa,Directa,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,82.88,Segment,G1. Segmento o media Luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,CB2-IV-09,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,Sí,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2875,Can Ballester,2.44,0.52,0.22,,36.15,27.18,0,0,0,2.77,0.88,2.55,0,1977,,Gris,1.45,1.27,20/5/2019,,,,No escau,Directa,Directa,Directa,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,98.45,Segment,G1. Segmento o media Luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,CB2-IV-53,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex Juràssic,No,4,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
2876,Can Ballester,2.08,0.5,0.27,,27.07,50.2,0,0,0,2.65,0.68,2.4,0,1977,,Gris,1.22,1.35,20/5/2019,,,,No escau,Directa,Directa,Directa,"C. Olària, F. Gusi",No escau,Continu,Continu,Continu,,94.98,Segment,G1. Segmento o media Luna,Sa 9.5 Segmento de retoque abrupto,G1. Segmento de retoque abrupto,CB2-V-12,Caixa 11 / B / 2 / 8 / 1. Bossa 17,No escau,Abrupte,Abrupte,Abrupte,Convex,No escau,Rectilini regular,No escau,Convex,No escau,Centrat suau,Incomplet,Sílex Juràssic,No,5 (?) Consultar Excel i publicació,,NA,Esquerra,,No,Covacho 2,No,,Museu de Belles Arts de Castelló,,,,Segmentoide,,,
