"","X","ID","Site","Reliability","Type.Fortea"
"17",17,2226,"Cova Or",100,"G9. Triángulo isósceles"
"37",37,2228,"Cova Or",100,"No figura"
"47",47,2231,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"77",77,2249,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"62",62,2252,"Cova Or",100,"G3. Trapecio asimétrico"
"15",15,2253,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"20",20,2256,"Cova Or",100,"G3. Trapecio asimétrico"
"41",41,2257,"Cova Or",100,"G3. Trapecio asimétrico"
"44",44,2259,"Cova Or",100,"G3. Trapecio asimétrico"
"35",35,2370,"Cova Or",100,"G9. Triángulo isósceles"
"83",83,2371,"Cova Or",100,"G3. Trapecio asimétrico"
"85",85,2374,"Cova Or",100,"G2. Trapecio simétrico"
"39",39,2378,"Cova Or",100,"G1. Segmento o media Luna"
"33",33,2381,"Cova Or",100,"G3. Trapecio asimétrico"
"65",65,2419,"Cova Or",100,"G3. Trapecio asimétrico"
"49",49,2424,"Cova Or",100,"G2. Trapecio simétrico"
"70",70,2426,"Cova Or",100,"G1. Segmento o media Luna"
"27",27,2430,"Cova Or",100,"G3. Trapecio asimétrico"
"64",64,2431,"Cova Or",100,"G3. Trapecio asimétrico"
"69",69,2440,"Cova Or",100,"G4. Trapecio rectángulo"
"6",6,2442,"Cova Or",100,"G1. Segmento o media Luna"
"4",4,2444,"Cova Or",100,"G3. Trapecio asimétrico"
"57",57,2447,"Cova Or",100,"G4. Trapecio rectángulo"
"91",91,2451,"Cova Or",100,"G2. Trapecio simétrico"
"21",21,2454,"Cova Or",100,"G2. Trapecio simétrico"
"7",7,2457,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
"72",72,2828,"Cova Or",100,"G3. Trapecio asimétrico"
"92",92,2833,"Cova Or",100,"G1. Segmento o media Luna"
"18",18,2838,"Cova Or",100,"G5. Trapecio con un lado cóncavo"
